id,original_text,submitted_text,label,source,instructor_feedback
727,Blockchain is a secure and decentralized record system.,Blockchain keeps data safe through distributed records.,AI_Generated,ChatGPT,NA
728,Photosynthesis converts light energy into chemical energy.,Plants use photosynthesis to make their own food.,AI_Generated,ChatGPT,Accurate paraphrase
729,Machine learning enables systems to learn from data.,Systems evolve by identifying patterns in datasets.,Human_Paraphrase,PAN,Too vague
730,Blockchain is a secure and decentralized record system.,Blockchain keeps data safe through distributed records.,AI_Generated,ChatGPT,Highly similar
731,Machine learning enables systems to learn from data.,Data helps machines learn through machine learning.,Human_Paraphrase,PAN,Well-written
732,Artificial intelligence is transforming modern industries.,AI technologies are revolutionizing modern companies.,Human_Paraphrase,PAN,Well-written
733,Machine learning enables systems to learn from data.,Machine learning enables systems to learn from data.,Verbatim_Plagiarism,PAN,Too vague
734,Blockchain is a secure and decentralized record system.,Blockchain is a secure and decentralized record system.,Verbatim_Plagiarism,PAN,Accurate paraphrase
735,Blockchain is a secure and decentralized record system.,The blockchain system secures transactions without central control.,AI_Generated,ChatGPT,NA
736,Machine learning enables systems to learn from data.,Machine learning enables systems to learn from data.,Original,Student_Assigned,Well-written
737,Climate change is driven by greenhouse gases.,The atmosphere traps heat due to gas emissions.,AI_Generated,ChatGPT,Accurate paraphrase
738,Artificial intelligence is transforming modern industries.,Industries are adapting rapidly due to artificial intelligence.,AI_Generated,ChatGPT,Highly similar
739,Photosynthesis converts light energy into chemical energy.,Photosynthesis creates energy from sunlight in plants.,AI_Generated,ChatGPT,Too vague
740,Climate change is driven by greenhouse gases.,Greenhouse gases are the main reason for climate change.,Human_Paraphrase,PAN,Strong match
741,Blockchain is a secure and decentralized record system.,The blockchain system secures transactions without central control.,AI_Generated,ChatGPT,Strong match
742,Climate change is driven by greenhouse gases.,Greenhouse gases are the main reason for climate change.,AI_Generated,ChatGPT,Highly similar
743,Machine learning enables systems to learn from data.,Systems evolve by identifying patterns in datasets.,Human_Paraphrase,PAN,Strong match
744,Blockchain is a secure and decentralized record system.,The blockchain system secures transactions without central control.,Human_Paraphrase,PAN,Strong match
745,Climate change is driven by greenhouse gases.,Climate change is driven by greenhouse gases.,Original,Student_Assigned,Well-written
746,Climate change is driven by greenhouse gases.,Climate change is driven by greenhouse gases.,Verbatim_Plagiarism,PAN,Too vague
747,Photosynthesis converts light energy into chemical energy.,Photosynthesis converts light energy into chemical energy.,Original,Student_Assigned,Well-written
748,Artificial intelligence is transforming modern industries.,AI is changing the way businesses operate.,Human_Paraphrase,PAN,Highly similar
749,Blockchain is a secure and decentralized record system.,Blockchain is a secure and decentralized record system.,Verbatim_Plagiarism,PAN,Highly similar
750,Climate change is driven by greenhouse gases.,Climate change is driven by greenhouse gases.,Original,Student_Assigned,Accurate paraphrase
751,Artificial intelligence is transforming modern industries.,AI is changing the way businesses operate.,Human_Paraphrase,PAN,Accurate paraphrase
752,Artificial intelligence is transforming modern industries.,Artificial intelligence is transforming modern industries.,Original,Student_Assigned,Too vague
753,Blockchain is a secure and decentralized record system.,Decentralized ledgers like blockchain reduce fraud.,Human_Paraphrase,PAN,Well-written
754,Artificial intelligence is transforming modern industries.,AI is changing the way businesses operate.,Human_Paraphrase,PAN,Accurate paraphrase
755,Artificial intelligence is transforming modern industries.,AI is changing the way businesses operate.,AI_Generated,ChatGPT,Strong match
756,Machine learning enables systems to learn from data.,Machine learning enables systems to learn from data.,Verbatim_Plagiarism,PAN,Strong match
757,Machine learning enables systems to learn from data.,Systems evolve by identifying patterns in datasets.,Human_Paraphrase,PAN,Highly similar
758,Blockchain is a secure and decentralized record system.,Blockchain is a secure and decentralized record system.,Verbatim_Plagiarism,PAN,Highly similar
759,Photosynthesis converts light energy into chemical energy.,Photosynthesis converts light energy into chemical energy.,Original,Student_Assigned,Accurate paraphrase
760,Climate change is driven by greenhouse gases.,Climate change is driven by greenhouse gases.,Original,Student_Assigned,Accurate paraphrase
761,Artificial intelligence is transforming modern industries.,Artificial intelligence is transforming modern industries.,Original,Student_Assigned,Strong match
762,Artificial intelligence is transforming modern industries.,AI technologies are revolutionizing modern companies.,AI_Generated,ChatGPT,NA
763,Blockchain is a secure and decentralized record system.,The blockchain system secures transactions without central control.,AI_Generated,ChatGPT,NA
764,Photosynthesis converts light energy into chemical energy.,Plants use photosynthesis to make their own food.,Human_Paraphrase,PAN,Highly similar
765,Machine learning enables systems to learn from data.,Algorithms improve by training on large amounts of data.,AI_Generated,ChatGPT,Too vague
766,Machine learning enables systems to learn from data.,Data helps machines learn through machine learning.,AI_Generated,ChatGPT,NA
767,Climate change is driven by greenhouse gases.,The atmosphere traps heat due to gas emissions.,AI_Generated,ChatGPT,Well-written
768,Machine learning enables systems to learn from data.,Machine learning enables systems to learn from data.,Original,Student_Assigned,Too vague
769,Photosynthesis converts light energy into chemical energy.,Plants use photosynthesis to make their own food.,Human_Paraphrase,PAN,Accurate paraphrase
770,Machine learning enables systems to learn from data.,Machine learning enables systems to learn from data.,Verbatim_Plagiarism,PAN,NA
771,Blockchain is a secure and decentralized record system.,Decentralized ledgers like blockchain reduce fraud.,Human_Paraphrase,PAN,Accurate paraphrase
772,Photosynthesis converts light energy into chemical energy.,Photosynthesis converts light energy into chemical energy.,Original,Student_Assigned,Well-written
773,Machine learning enables systems to learn from data.,Systems evolve by identifying patterns in datasets.,AI_Generated,ChatGPT,NA
774,Blockchain is a secure and decentralized record system.,Blockchain is a secure and decentralized record system.,Original,Student_Assigned,Strong match
775,Blockchain is a secure and decentralized record system.,Blockchain is a secure and decentralized record system.,Verbatim_Plagiarism,PAN,Highly similar
776,Climate change is driven by greenhouse gases.,Climate change is driven by greenhouse gases.,Verbatim_Plagiarism,PAN,Well-written
777,Climate change is driven by greenhouse gases.,Global warming is caused by excess carbon emissions.,Human_Paraphrase,PAN,Highly similar
778,Climate change is driven by greenhouse gases.,Global warming is caused by excess carbon emissions.,AI_Generated,ChatGPT,Strong match
779,Machine learning enables systems to learn from data.,Machine learning enables systems to learn from data.,Verbatim_Plagiarism,PAN,NA
780,Photosynthesis converts light energy into chemical energy.,Photosynthesis creates energy from sunlight in plants.,AI_Generated,ChatGPT,Highly similar
781,Artificial intelligence is transforming modern industries.,AI is changing the way businesses operate.,Human_Paraphrase,PAN,Accurate paraphrase
782,Machine learning enables systems to learn from data.,Data helps machines learn through machine learning.,AI_Generated,ChatGPT,NA
783,Machine learning enables systems to learn from data.,Machine learning enables systems to learn from data.,Original,Student_Assigned,Highly similar
784,Blockchain is a secure and decentralized record system.,Blockchain is a secure and decentralized record system.,Original,Student_Assigned,Strong match
785,Climate change is driven by greenhouse gases.,Climate change is driven by greenhouse gases.,Verbatim_Plagiarism,PAN,Highly similar
786,Blockchain is a secure and decentralized record system.,Blockchain is a secure and decentralized record system.,Original,Student_Assigned,Too vague
787,Machine learning enables systems to learn from data.,Machine learning enables systems to learn from data.,Verbatim_Plagiarism,PAN,NA
788,Blockchain is a secure and decentralized record system.,Blockchain keeps data safe through distributed records.,AI_Generated,ChatGPT,Accurate paraphrase
789,Photosynthesis converts light energy into chemical energy.,Photosynthesis creates energy from sunlight in plants.,Human_Paraphrase,PAN,Too vague
790,Artificial intelligence is transforming modern industries.,AI is changing the way businesses operate.,Human_Paraphrase,PAN,Well-written
791,Photosynthesis converts light energy into chemical energy.,Photosynthesis converts light energy into chemical energy.,Verbatim_Plagiarism,PAN,Strong match
792,Photosynthesis converts light energy into chemical energy.,Photosynthesis creates energy from sunlight in plants.,AI_Generated,ChatGPT,Accurate paraphrase
793,Blockchain is a secure and decentralized record system.,Blockchain is a secure and decentralized record system.,Verbatim_Plagiarism,PAN,Strong match
794,Blockchain is a secure and decentralized record system.,The blockchain system secures transactions without central control.,AI_Generated,ChatGPT,NA
795,Blockchain is a secure and decentralized record system.,Blockchain is a secure and decentralized record system.,Original,Student_Assigned,Highly similar
796,Artificial intelligence is transforming modern industries.,Artificial intelligence is transforming modern industries.,Verbatim_Plagiarism,PAN,Strong match
797,Climate change is driven by greenhouse gases.,Climate change is driven by greenhouse gases.,Verbatim_Plagiarism,PAN,NA
798,Machine learning enables systems to learn from data.,Algorithms improve by training on large amounts of data.,Human_Paraphrase,PAN,Too vague
799,Climate change is driven by greenhouse gases.,The atmosphere traps heat due to gas emissions.,Human_Paraphrase,PAN,Highly similar
800,Blockchain is a secure and decentralized record system.,Blockchain is a secure and decentralized record system.,Original,Student_Assigned,Too vague
801,Artificial intelligence is transforming modern industries.,AI is changing the way businesses operate.,Human_Paraphrase,PAN,Well-written
802,Photosynthesis converts light energy into chemical energy.,Photosynthesis creates energy from sunlight in plants.,Human_Paraphrase,PAN,Accurate paraphrase
803,Photosynthesis converts light energy into chemical energy.,Photosynthesis converts light energy into chemical energy.,Original,Student_Assigned,Well-written
804,Photosynthesis converts light energy into chemical energy.,Photosynthesis converts light energy into chemical energy.,Original,Student_Assigned,Too vague
805,Photosynthesis converts light energy into chemical energy.,Photosynthesis creates energy from sunlight in plants.,Human_Paraphrase,PAN,Too vague
806,Blockchain is a secure and decentralized record system.,Decentralized ledgers like blockchain reduce fraud.,AI_Generated,ChatGPT,Highly similar
807,Climate change is driven by greenhouse gases.,Climate change is driven by greenhouse gases.,Original,Student_Assigned,Too vague
808,Machine learning enables systems to learn from data.,Machine learning enables systems to learn from data.,Original,Student_Assigned,NA
809,Machine learning enables systems to learn from data.,Machine learning enables systems to learn from data.,Original,Student_Assigned,Strong match
810,Artificial intelligence is transforming modern industries.,Industries are adapting rapidly due to artificial intelligence.,Human_Paraphrase,PAN,Too vague
811,Blockchain is a secure and decentralized record system.,Blockchain keeps data safe through distributed records.,Human_Paraphrase,PAN,Highly similar
812,Blockchain is a secure and decentralized record system.,Blockchain is a secure and decentralized record system.,Verbatim_Plagiarism,PAN,NA
813,Artificial intelligence is transforming modern industries.,Artificial intelligence is transforming modern industries.,Verbatim_Plagiarism,PAN,NA
814,Photosynthesis converts light energy into chemical energy.,Photosynthesis creates energy from sunlight in plants.,Human_Paraphrase,PAN,Highly similar
815,Blockchain is a secure and decentralized record system.,Blockchain keeps data safe through distributed records.,AI_Generated,ChatGPT,Well-written
816,Photosynthesis converts light energy into chemical energy.,Photosynthesis creates energy from sunlight in plants.,Human_Paraphrase,PAN,Accurate paraphrase
817,Photosynthesis converts light energy into chemical energy.,Photosynthesis converts light energy into chemical energy.,Original,Student_Assigned,Highly similar
818,Artificial intelligence is transforming modern industries.,Artificial intelligence is transforming modern industries.,Original,Student_Assigned,Too vague
819,Climate change is driven by greenhouse gases.,Climate change is driven by greenhouse gases.,Original,Student_Assigned,Accurate paraphrase
820,Climate change is driven by greenhouse gases.,Climate change is driven by greenhouse gases.,Verbatim_Plagiarism,PAN,Strong match
821,Artificial intelligence is transforming modern industries.,Artificial intelligence is transforming modern industries.,Original,Student_Assigned,Strong match
822,Blockchain is a secure and decentralized record system.,Blockchain is a secure and decentralized record system.,Original,Student_Assigned,Strong match
823,Blockchain is a secure and decentralized record system.,Blockchain is a secure and decentralized record system.,Verbatim_Plagiarism,PAN,Accurate paraphrase
824,Blockchain is a secure and decentralized record system.,Decentralized ledgers like blockchain reduce fraud.,AI_Generated,ChatGPT,Too vague
825,Machine learning enables systems to learn from data.,Machine learning enables systems to learn from data.,Verbatim_Plagiarism,PAN,Strong match
826,Machine learning enables systems to learn from data.,Machine learning enables systems to learn from data.,Verbatim_Plagiarism,PAN,Strong match
827,Blockchain is a secure and decentralized record system.,Blockchain is a secure and decentralized record system.,Verbatim_Plagiarism,PAN,Highly similar
828,Machine learning enables systems to learn from data.,Machine learning enables systems to learn from data.,Original,Student_Assigned,Highly similar
829,Blockchain is a secure and decentralized record system.,Blockchain is a secure and decentralized record system.,Verbatim_Plagiarism,PAN,Too vague
830,Climate change is driven by greenhouse gases.,Climate change is driven by greenhouse gases.,Verbatim_Plagiarism,PAN,Highly similar
831,Machine learning enables systems to learn from data.,Machine learning enables systems to learn from data.,Original,Student_Assigned,Accurate paraphrase
832,Photosynthesis converts light energy into chemical energy.,Plants use photosynthesis to make their own food.,AI_Generated,ChatGPT,NA
833,Artificial intelligence is transforming modern industries.,AI technologies are revolutionizing modern companies.,AI_Generated,ChatGPT,Strong match
834,Artificial intelligence is transforming modern industries.,AI is changing the way businesses operate.,AI_Generated,ChatGPT,Highly similar
835,Machine learning enables systems to learn from data.,Machine learning enables systems to learn from data.,Original,Student_Assigned,NA
836,Artificial intelligence is transforming modern industries.,Artificial intelligence is transforming modern industries.,Verbatim_Plagiarism,PAN,NA
837,Machine learning enables systems to learn from data.,Systems evolve by identifying patterns in datasets.,Human_Paraphrase,PAN,Too vague
838,Photosynthesis converts light energy into chemical energy.,Photosynthesis converts light energy into chemical energy.,Verbatim_Plagiarism,PAN,Well-written
839,Climate change is driven by greenhouse gases.,Greenhouse gases are the main reason for climate change.,AI_Generated,ChatGPT,Well-written
840,Blockchain is a secure and decentralized record system.,The blockchain system secures transactions without central control.,AI_Generated,ChatGPT,Well-written
841,Climate change is driven by greenhouse gases.,Climate change is driven by greenhouse gases.,Verbatim_Plagiarism,PAN,Accurate paraphrase
842,Photosynthesis converts light energy into chemical energy.,Photosynthesis converts light energy into chemical energy.,Verbatim_Plagiarism,PAN,Too vague
843,Climate change is driven by greenhouse gases.,Climate change is driven by greenhouse gases.,Original,Student_Assigned,Accurate paraphrase
844,Blockchain is a secure and decentralized record system.,Blockchain is a secure and decentralized record system.,Original,Student_Assigned,Too vague
845,Climate change is driven by greenhouse gases.,Climate change is driven by greenhouse gases.,Verbatim_Plagiarism,PAN,Highly similar
846,Climate change is driven by greenhouse gases.,Global warming is caused by excess carbon emissions.,Human_Paraphrase,PAN,Too vague
847,Blockchain is a secure and decentralized record system.,The blockchain system secures transactions without central control.,AI_Generated,ChatGPT,Highly similar
848,Photosynthesis converts light energy into chemical energy.,Plants use photosynthesis to make their own food.,Human_Paraphrase,PAN,Well-written
849,Artificial intelligence is transforming modern industries.,Artificial intelligence is transforming modern industries.,Original,Student_Assigned,Highly similar
850,Blockchain is a secure and decentralized record system.,Blockchain is a secure and decentralized record system.,Verbatim_Plagiarism,PAN,Highly similar
851,Climate change is driven by greenhouse gases.,Global warming is caused by excess carbon emissions.,Human_Paraphrase,PAN,Well-written
852,Blockchain is a secure and decentralized record system.,Blockchain is a secure and decentralized record system.,Original,Student_Assigned,Well-written
853,Photosynthesis converts light energy into chemical energy.,Photosynthesis creates energy from sunlight in plants.,AI_Generated,ChatGPT,Accurate paraphrase
854,Photosynthesis converts light energy into chemical energy.,Photosynthesis converts light energy into chemical energy.,Original,Student_Assigned,Strong match
855,Photosynthesis converts light energy into chemical energy.,Plants use photosynthesis to make their own food.,AI_Generated,ChatGPT,Too vague
856,Climate change is driven by greenhouse gases.,Greenhouse gases are the main reason for climate change.,AI_Generated,ChatGPT,Accurate paraphrase
857,Photosynthesis converts light energy into chemical energy.,Photosynthesis creates energy from sunlight in plants.,Human_Paraphrase,PAN,Well-written
858,Climate change is driven by greenhouse gases.,Greenhouse gases are the main reason for climate change.,Human_Paraphrase,PAN,NA
859,Photosynthesis converts light energy into chemical energy.,Photosynthesis converts light energy into chemical energy.,Original,Student_Assigned,Highly similar
860,Artificial intelligence is transforming modern industries.,AI technologies are revolutionizing modern companies.,Human_Paraphrase,PAN,NA
861,Artificial intelligence is transforming modern industries.,Industries are adapting rapidly due to artificial intelligence.,AI_Generated,ChatGPT,Well-written
862,Machine learning enables systems to learn from data.,Algorithms improve by training on large amounts of data.,Human_Paraphrase,PAN,Accurate paraphrase
863,Photosynthesis converts light energy into chemical energy.,Photosynthesis converts light energy into chemical energy.,Verbatim_Plagiarism,PAN,Accurate paraphrase
864,Artificial intelligence is transforming modern industries.,AI technologies are revolutionizing modern companies.,Human_Paraphrase,PAN,Strong match
865,Photosynthesis converts light energy into chemical energy.,Photosynthesis converts light energy into chemical energy.,Verbatim_Plagiarism,PAN,Well-written
866,Blockchain is a secure and decentralized record system.,Decentralized ledgers like blockchain reduce fraud.,Human_Paraphrase,PAN,Highly similar
867,Climate change is driven by greenhouse gases.,Greenhouse gases are the main reason for climate change.,Human_Paraphrase,PAN,Well-written
868,Climate change is driven by greenhouse gases.,Global warming is caused by excess carbon emissions.,Human_Paraphrase,PAN,Accurate paraphrase
869,Climate change is driven by greenhouse gases.,Climate change is driven by greenhouse gases.,Original,Student_Assigned,Too vague
870,Blockchain is a secure and decentralized record system.,Blockchain is a secure and decentralized record system.,Verbatim_Plagiarism,PAN,Highly similar
871,Photosynthesis converts light energy into chemical energy.,Plants use photosynthesis to make their own food.,Human_Paraphrase,PAN,Highly similar
872,Photosynthesis converts light energy into chemical energy.,Photosynthesis creates energy from sunlight in plants.,AI_Generated,ChatGPT,Well-written
873,Climate change is driven by greenhouse gases.,Climate change is driven by greenhouse gases.,Verbatim_Plagiarism,PAN,Highly similar
874,Machine learning enables systems to learn from data.,Systems evolve by identifying patterns in datasets.,Human_Paraphrase,PAN,Too vague
875,Climate change is driven by greenhouse gases.,Greenhouse gases are the main reason for climate change.,Human_Paraphrase,PAN,Too vague
876,Climate change is driven by greenhouse gases.,Global warming is caused by excess carbon emissions.,Human_Paraphrase,PAN,Too vague
877,Blockchain is a secure and decentralized record system.,Blockchain keeps data safe through distributed records.,Human_Paraphrase,PAN,Well-written
878,Artificial intelligence is transforming modern industries.,Artificial intelligence is transforming modern industries.,Original,Student_Assigned,Well-written
879,Artificial intelligence is transforming modern industries.,Artificial intelligence is transforming modern industries.,Original,Student_Assigned,Strong match
880,Blockchain is a secure and decentralized record system.,Blockchain is a secure and decentralized record system.,Verbatim_Plagiarism,PAN,Strong match
881,Blockchain is a secure and decentralized record system.,Decentralized ledgers like blockchain reduce fraud.,AI_Generated,ChatGPT,Too vague
882,Machine learning enables systems to learn from data.,Systems evolve by identifying patterns in datasets.,Human_Paraphrase,PAN,Strong match
883,Blockchain is a secure and decentralized record system.,Decentralized ledgers like blockchain reduce fraud.,Human_Paraphrase,PAN,Strong match
884,Blockchain is a secure and decentralized record system.,Blockchain is a secure and decentralized record system.,Verbatim_Plagiarism,PAN,Strong match
885,Climate change is driven by greenhouse gases.,Climate change is driven by greenhouse gases.,Original,Student_Assigned,Accurate paraphrase
886,Blockchain is a secure and decentralized record system.,The blockchain system secures transactions without central control.,AI_Generated,ChatGPT,NA
887,Artificial intelligence is transforming modern industries.,Industries are adapting rapidly due to artificial intelligence.,Human_Paraphrase,PAN,Accurate paraphrase
888,Machine learning enables systems to learn from data.,Algorithms improve by training on large amounts of data.,Human_Paraphrase,PAN,Highly similar
889,Photosynthesis converts light energy into chemical energy.,Photosynthesis converts light energy into chemical energy.,Original,Student_Assigned,Strong match
890,Photosynthesis converts light energy into chemical energy.,Light energy is turned into sugar in photosynthesis.,AI_Generated,ChatGPT,NA
891,Artificial intelligence is transforming modern industries.,Artificial intelligence is transforming modern industries.,Verbatim_Plagiarism,PAN,Well-written
892,Photosynthesis converts light energy into chemical energy.,Photosynthesis converts light energy into chemical energy.,Verbatim_Plagiarism,PAN,Well-written
893,Machine learning enables systems to learn from data.,Data helps machines learn through machine learning.,AI_Generated,ChatGPT,Strong match
894,Climate change is driven by greenhouse gases.,Climate change is driven by greenhouse gases.,Verbatim_Plagiarism,PAN,NA
895,Machine learning enables systems to learn from data.,Machine learning enables systems to learn from data.,Original,Student_Assigned,Too vague
896,Climate change is driven by greenhouse gases.,Climate change is driven by greenhouse gases.,Verbatim_Plagiarism,PAN,Well-written
897,Machine learning enables systems to learn from data.,Machine learning enables systems to learn from data.,Original,Student_Assigned,NA
898,Artificial intelligence is transforming modern industries.,Artificial intelligence is transforming modern industries.,Verbatim_Plagiarism,PAN,Strong match
899,Blockchain is a secure and decentralized record system.,Blockchain is a secure and decentralized record system.,Original,Student_Assigned,Highly similar
900,Photosynthesis converts light energy into chemical energy.,Photosynthesis converts light energy into chemical energy.,Original,Student_Assigned,Strong match
901,Photosynthesis converts light energy into chemical energy.,Photosynthesis creates energy from sunlight in plants.,AI_Generated,ChatGPT,Accurate paraphrase
902,Photosynthesis converts light energy into chemical energy.,Photosynthesis creates energy from sunlight in plants.,AI_Generated,ChatGPT,Well-written
903,Blockchain is a secure and decentralized record system.,Decentralized ledgers like blockchain reduce fraud.,AI_Generated,ChatGPT,Well-written
904,Machine learning enables systems to learn from data.,Machine learning enables systems to learn from data.,Original,Student_Assigned,Well-written
905,Blockchain is a secure and decentralized record system.,Blockchain is a secure and decentralized record system.,Verbatim_Plagiarism,PAN,Well-written
906,Photosynthesis converts light energy into chemical energy.,Photosynthesis converts light energy into chemical energy.,Verbatim_Plagiarism,PAN,NA
907,Artificial intelligence is transforming modern industries.,AI is changing the way businesses operate.,AI_Generated,ChatGPT,Highly similar
908,Artificial intelligence is transforming modern industries.,Industries are adapting rapidly due to artificial intelligence.,Human_Paraphrase,PAN,Too vague
909,Machine learning enables systems to learn from data.,Machine learning enables systems to learn from data.,Verbatim_Plagiarism,PAN,Too vague
910,Artificial intelligence is transforming modern industries.,AI is changing the way businesses operate.,Human_Paraphrase,PAN,Strong match
911,Climate change is driven by greenhouse gases.,The atmosphere traps heat due to gas emissions.,AI_Generated,ChatGPT,Strong match
912,Photosynthesis converts light energy into chemical energy.,Photosynthesis converts light energy into chemical energy.,Verbatim_Plagiarism,PAN,Too vague
913,Climate change is driven by greenhouse gases.,Climate change is driven by greenhouse gases.,Verbatim_Plagiarism,PAN,Strong match
914,Machine learning enables systems to learn from data.,Algorithms improve by training on large amounts of data.,Human_Paraphrase,PAN,NA
915,Machine learning enables systems to learn from data.,Machine learning enables systems to learn from data.,Verbatim_Plagiarism,PAN,Well-written
916,Machine learning enables systems to learn from data.,Data helps machines learn through machine learning.,AI_Generated,ChatGPT,Strong match
917,Machine learning enables systems to learn from data.,Machine learning enables systems to learn from data.,Verbatim_Plagiarism,PAN,Highly similar
918,Artificial intelligence is transforming modern industries.,AI technologies are revolutionizing modern companies.,Human_Paraphrase,PAN,Well-written
919,Machine learning enables systems to learn from data.,Machine learning enables systems to learn from data.,Original,Student_Assigned,Accurate paraphrase
920,Climate change is driven by greenhouse gases.,Greenhouse gases are the main reason for climate change.,AI_Generated,ChatGPT,NA
921,Machine learning enables systems to learn from data.,Machine learning enables systems to learn from data.,Verbatim_Plagiarism,PAN,Highly similar
922,Artificial intelligence is transforming modern industries.,AI technologies are revolutionizing modern companies.,AI_Generated,ChatGPT,Strong match
923,Machine learning enables systems to learn from data.,Machine learning enables systems to learn from data.,Verbatim_Plagiarism,PAN,NA
924,Climate change is driven by greenhouse gases.,Greenhouse gases are the main reason for climate change.,AI_Generated,ChatGPT,Well-written
925,Artificial intelligence is transforming modern industries.,Artificial intelligence is transforming modern industries.,Verbatim_Plagiarism,PAN,Strong match
926,Blockchain is a secure and decentralized record system.,Blockchain is a secure and decentralized record system.,Original,Student_Assigned,Accurate paraphrase
927,Photosynthesis converts light energy into chemical energy.,Photosynthesis converts light energy into chemical energy.,Verbatim_Plagiarism,PAN,Accurate paraphrase
928,Artificial intelligence is transforming modern industries.,AI technologies are revolutionizing modern companies.,AI_Generated,ChatGPT,Too vague
929,Photosynthesis converts light energy into chemical energy.,Plants use photosynthesis to make their own food.,AI_Generated,ChatGPT,Highly similar
930,Climate change is driven by greenhouse gases.,The atmosphere traps heat due to gas emissions.,AI_Generated,ChatGPT,Accurate paraphrase
931,Climate change is driven by greenhouse gases.,Climate change is driven by greenhouse gases.,Original,Student_Assigned,NA
932,Blockchain is a secure and decentralized record system.,Blockchain is a secure and decentralized record system.,Verbatim_Plagiarism,PAN,Well-written
933,Machine learning enables systems to learn from data.,Machine learning enables systems to learn from data.,Original,Student_Assigned,Strong match
934,Artificial intelligence is transforming modern industries.,Industries are adapting rapidly due to artificial intelligence.,AI_Generated,ChatGPT,NA
935,Blockchain is a secure and decentralized record system.,Blockchain is a secure and decentralized record system.,Original,Student_Assigned,NA
936,Photosynthesis converts light energy into chemical energy.,Photosynthesis converts light energy into chemical energy.,Original,Student_Assigned,Too vague
937,Photosynthesis converts light energy into chemical energy.,Photosynthesis converts light energy into chemical energy.,Original,Student_Assigned,NA
938,Artificial intelligence is transforming modern industries.,AI technologies are revolutionizing modern companies.,Human_Paraphrase,PAN,NA
939,Blockchain is a secure and decentralized record system.,Decentralized ledgers like blockchain reduce fraud.,Human_Paraphrase,PAN,NA
940,Blockchain is a secure and decentralized record system.,Blockchain is a secure and decentralized record system.,Verbatim_Plagiarism,PAN,Highly similar
941,Climate change is driven by greenhouse gases.,Climate change is driven by greenhouse gases.,Verbatim_Plagiarism,PAN,NA
942,Photosynthesis converts light energy into chemical energy.,Photosynthesis creates energy from sunlight in plants.,Human_Paraphrase,PAN,Highly similar
943,Photosynthesis converts light energy into chemical energy.,Light energy is turned into sugar in photosynthesis.,Human_Paraphrase,PAN,Too vague
944,Blockchain is a secure and decentralized record system.,Blockchain is a secure and decentralized record system.,Original,Student_Assigned,Too vague
945,Climate change is driven by greenhouse gases.,Climate change is driven by greenhouse gases.,Original,Student_Assigned,Well-written
946,Photosynthesis converts light energy into chemical energy.,Plants use photosynthesis to make their own food.,AI_Generated,ChatGPT,Too vague
947,Blockchain is a secure and decentralized record system.,Blockchain is a secure and decentralized record system.,Verbatim_Plagiarism,PAN,Well-written
948,Blockchain is a secure and decentralized record system.,Blockchain keeps data safe through distributed records.,AI_Generated,ChatGPT,Too vague
949,Machine learning enables systems to learn from data.,Systems evolve by identifying patterns in datasets.,Human_Paraphrase,PAN,Well-written
950,Photosynthesis converts light energy into chemical energy.,Photosynthesis converts light energy into chemical energy.,Original,Student_Assigned,Well-written
951,Photosynthesis converts light energy into chemical energy.,Photosynthesis creates energy from sunlight in plants.,Human_Paraphrase,PAN,Highly similar
952,Machine learning enables systems to learn from data.,Data helps machines learn through machine learning.,Human_Paraphrase,PAN,Strong match
953,Artificial intelligence is transforming modern industries.,Artificial intelligence is transforming modern industries.,Verbatim_Plagiarism,PAN,Too vague
954,Blockchain is a secure and decentralized record system.,Blockchain keeps data safe through distributed records.,Human_Paraphrase,PAN,Well-written
955,Machine learning enables systems to learn from data.,Systems evolve by identifying patterns in datasets.,Human_Paraphrase,PAN,NA
956,Photosynthesis converts light energy into chemical energy.,Photosynthesis creates energy from sunlight in plants.,Human_Paraphrase,PAN,Well-written
957,Machine learning enables systems to learn from data.,Algorithms improve by training on large amounts of data.,Human_Paraphrase,PAN,Highly similar
958,Artificial intelligence is transforming modern industries.,Artificial intelligence is transforming modern industries.,Verbatim_Plagiarism,PAN,Accurate paraphrase
959,Climate change is driven by greenhouse gases.,Climate change is driven by greenhouse gases.,Verbatim_Plagiarism,PAN,Accurate paraphrase
960,Artificial intelligence is transforming modern industries.,Artificial intelligence is transforming modern industries.,Original,Student_Assigned,Well-written
961,Machine learning enables systems to learn from data.,Algorithms improve by training on large amounts of data.,Human_Paraphrase,PAN,Too vague
962,Artificial intelligence is transforming modern industries.,AI is changing the way businesses operate.,AI_Generated,ChatGPT,Well-written
963,Artificial intelligence is transforming modern industries.,Industries are adapting rapidly due to artificial intelligence.,Human_Paraphrase,PAN,Too vague
964,Photosynthesis converts light energy into chemical energy.,Light energy is turned into sugar in photosynthesis.,Human_Paraphrase,PAN,Accurate paraphrase
965,Photosynthesis converts light energy into chemical energy.,Light energy is turned into sugar in photosynthesis.,AI_Generated,ChatGPT,Too vague
966,Machine learning enables systems to learn from data.,Data helps machines learn through machine learning.,Human_Paraphrase,PAN,Too vague
967,Climate change is driven by greenhouse gases.,Climate change is driven by greenhouse gases.,Verbatim_Plagiarism,PAN,Too vague
968,Machine learning enables systems to learn from data.,Data helps machines learn through machine learning.,Human_Paraphrase,PAN,NA
